artist,title,year
All Saints,Never Ever,1997
Aqua,Barbie Girl,1997
The B-52's,Love Shack,1989
Barenaked Ladies,One Week,1998
Billy Ray Cyrus,Achy Breaky Heart,1992
The Cardigans,Lovefool,1996
The Cranberries,Zombie,1994
Crash Test Dummies,Mmm Mmm Mmm Mmm,1993
The Cure,Friday I'm in Love,1992
Divinyls,I Touch Myself,1990
EMF,Unbelievable,1990
Gin Blossoms,Hey Jealousy,1993
Lisa Loeb,Stay (I Missed You),1994
M People,Moving On Up,1993
MC Hammer,U Can't Touch This,1990
Meredith Brooks,Bitch,1997
Natalie Imbruglia,Torn,1997
New Kids on the Block,Step by Step,1990
Nick Cave & Kylie Minogue,Where the Wild Roses Grow,1995
Poison,Unskinny Bop,1990
R.E.M.,Everybody Hurts,1992
Radiohead,Creep,1992
Roachford,Only to Be with You,1997
Savage Garden,I Want You,1996
Seal,Kiss from a Rose,1994
Sir Mix-a-Lot,Baby Got Back,1992
Spice Girls,Wannabe,1996
Spin Doctors,Two Princes,1991
Technotronic feat. Felly,Pump Up the Jam,1989
Wet Wet Wet,Love Is All Around,1994
