artist,title,year
ABBA,Chiquitita,1979
ABBA,Dancing Queen,1976
ABBA,Does Your Mother Know,1979
ABBA,Fernando,1976
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979
ABBA,"I Do, I Do, I Do, I Do, I Do",1975
ABBA,"Knowing Me, Knowing You",1977
ABBA,Mamma Mia,1975
ABBA,"Money, Money, Money",1976
ABBA,One of Us,1981
ABBA,Ring Ring,1973
ABBA,SOS,1975
ABBA,Summer Night City,1978
ABBA,Super Trouper,1980
ABBA,Take a Chance on Me,1978
ABBA,Thank You for the Music,1977
ABBA,The Name of the Game,1977
ABBA,The Winner Takes It All,1980
ABBA,Voulez-Vous,1979
ABBA,Waterloo,1974
