artist,title,year
Alice in Chains,Would?,1992
Audioslave,Cochise,2002
Blink-182,I Miss You,2003
Blue Öyster Cult,(Don't Fear) The Reaper,1976
Boston,More Than a Feeling,1976
Cheap Trick,I Want You to Want Me,1977
David Bowie,Changes,1971
Fall Out Boy,This Ain't a Scene It's an Arms Race,2006
Foo Fighters,Best of You,2005
Free,All Right Now,1970
Iggy Pop,Real Wild Child (Wild One),1986
Judas Priest,You've Got Another Thing Comin',1982
The Killers,When You Were Young,2006
Motörhead,Ace of Spades,1980
Nickelback,Savin' Me,2005
Nirvana,Come as You Are,1991
O.A.R.,Love and Memories,2006
Pearl Jam,Alive,1991
Poison,Every Rose Has Its Thorn,1988
Queens of the Stone Age,Go with the Flow,2002
Quiet Riot,Cum On Feel the Noize,1983
Radiohead,Creep,1992
Ramones,Blitzkrieg Bop,1976
Steppenwolf,Born to Be Wild,1968
Stone Temple Pilots,Vasoline,1994
Talking Heads,Burning Down the House,1983
Yeah Yeah Yeahs,Gold Lion,2006
Yes,Owner of a Lonely Heart,1983
ZZ Top,Gimme All Your Lovin',1983
