artist,title,year
Bananarama,I Heard a Rumour,1987
Bonnie Tyler,Total Eclipse of the Heart,1983
Bucks Fizz,Making Your Mind Up,1981
Candi Staton,Young Hearts Run Free,1976
Charlene,I've Never Been to Me,1982
Charlotte Church,Crazy Chick,2005
Cher,If I Could Turn Back Time,1989
Dead or Alive,You Spin Me Round (Like a Record),1985
Girls Aloud,Biology,2005
Gloria Gaynor,I Will Survive,1978
Kim Wilde,Kids in America,1981
LeAnn Rimes,Can't Fight the Moonlight,2000
The Pussycat Dolls,Don't Cha,2005
Queen,Radio Ga Ga,1984
Scissor Sisters,Laura,2004
Steps,Deeper Shade of Blue,2000
Take That (featuring Lulu),Relight My Fire,1993
Ultra Naté,Free,1997
The Weather Girls,It's Raining Men,1982
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987
