artist,title,year
Bananarama,Cruel Summer,1983
Bananarama,Love in the First Degree,1987
The Bangles,Eternal Flame,1989
Boyz II Men,I'll Make Love to You,1994
Boyzone,Love Me for a Reason,1994
Bros,I Owe You Nothing,1988
Busted,Air Hostess,2002
Busted,What I Go to School For,2002
East 17,Let It Rain,1995
East 17,Stay Another Day,1994
En Vogue,Free Your Mind,1992
Five,Everybody Get Up,1998
Five,Keep On Movin',1999
Girls Aloud,The Show,2004
Hanson,MMMBop,1997
Jade,Don't Walk Away,1993
McFly,All About You,2004
McFly,5 Colours in Her Hair,2004
Mel and Kim,Showing Out (Get Fresh at the Weekend),1986
Mis-Teeq,One Night Stand,2001
New Edition,Candy Girl,1983
The Pussycat Dolls,Stickwitu,2005
The Shangri-Las,Leader of the Pack,1964
Sister Sledge,He's the Greatest Dancer,1979
Spice Girls,Say You'll Be There,1996
Sugababes,About You Now,2007
The Supremes,Stop! In the Name of Love,1965
Westlife,Flying Without Wings,1999
Westlife,Swear It Again,1999
Wilson Phillips,Hold On,1990
