artist,title,year
3OH!3,Don't Trust Me,2008
A. R. Rahman feat. The Pussycat Dolls,Jai Ho,2009
Alex Lloyd,Amazing,2001
Ben Lee,Catch My Disease,2007
Colbie Caillat,Fallin' for You,2009
Empire of the Sun,Walking on a Dream,2008
George Michael,Outside,1998
Guy Sebastian feat. Jordin Sparks,Art of Love,2010
Kate Miller-Heidke,The Last Day on Earth,2009
La Roux,Bulletproof,2009
Lady Gaga,Poker Face,2008
The Last Goodnight,Pictures of You,2008
The Living End,White Noise,2008
Michael Bublé,Haven't Met You Yet,2009
Mika,We Are Golden,2009
Milli Vanilli,Blame It on the Rain,1989
Natalie Bassingthwaighte,Alive,2008
Nelly Furtado,Turn Off the Light,2001
Pixie Lott,Boys and Girls,2009
The Presets,This Boy's in Love,2008
The Pussycat Dolls,Hush Hush; Hush Hush,2008
Vanessa Amorosi,This Is Who I Am,2008
Vitamin C,Graduation (Friends Forever),2000
Wes Carr,Feels Like Woah,2008
Wolfmother,New Moon Rising,2009
