artist,title,year
Alan Jackson,Chattahoochee,1993
Alan Jackson,Good Time,2008
Big & Rich,Save a Horse (Ride a Cowboy),2004
Blake Shelton,Home,2008
Brad Paisley,Online,2007
Brooks & Dunn,Boot Scootin' Boogie,1992
Brooks & Dunn (with Reba McEntire),If You See Him/If You See Her,1998
Bucky Covington,It's Good To Be Us,2008
Faith Hill,Red Umbrella,2007
Gretchen Wilson,Redneck Woman,2004
Jessica Simpson,Come On Over,2008
Jewel,Stronger Woman,2008
Johnny Cash,A Boy Named Sue,1969
Johnny Cash,I Walk the Line,1956
Josh Turner,Another Try,2008
Keith Urban,Days Go By,2004
Kellie Pickler,Red High Heels,2006
Kenny Chesney,Big Star,2003
Lady Antebellum,Love Don't Live Here,2007
Martina McBride,A Broken Wing,1997
Miranda Lambert,Kerosene,2005
Montgomery Gentry,My Town,2002
Montgomery Gentry,What Do Ya Think About That,2007
Rascal Flatts,Bless the Broken Road,2004
Sara Evans,Born to Fly,2000
Taylor Swift,Our Song,2007
Terri Clark,Girls Lie Too,2004
Trace Adkins,Honky Tonk Badonkadonk,2005
Trace Adkins,You're Gonna Miss This,2008
Willie Nelson,Pancho and Lefty,1983
