artist,title,year
Annie,I Know UR Girlfriend Hates Me,2005
Avril Lavigne,When You're Gone,2007
Calvin Harris,Acceptable in the 80s,2007
Colbie Caillat,Bubbly,2007
Delta Goodrem,You Will Only Break My Heart,2008
Fall Out Boy,Thnks fr th Mmrs,2007
Fergie,Clumsy,2007
Finger Eleven,Paralyzer,2007
The Fray,How to Save a Life,2005
Gabriella Cilmi,Sweet About Me,2008
Lily Allen,LDN,2006
Maroon 5,Makes Me Wonder,2007
Mika,Grace Kelly,2007
Mika,Love Today,2007
My Chemical Romance,Teenagers,2007
Nelly Furtado,All Good Things (Come to an End),2006
One Night Only,Just for Tonight,2007
OneRepublic,Stop and Stare,2007
Operator Please,Just a Song About Ping Pong,2007
The Potbelleez,Don't Hold Back,2008
Powderfinger,Lost and Running,2007
Ricki-Lee,Can't Sing a Different Song,2008
Sam Sparro,Black and Gold,2007
Sean Kingston,Beautiful Girls,2007
Sneaky Sound System,Pictures,2006
Snow Patrol,Chasing Cars,2006
The Ting Tings,Great DJ,2008
The Ting Tings,That's Not My Name,2008
Vanessa Amorosi,Perfect,2008
will.i.am,I Got It From My Mama,2007
