artist,title,year
Aretha Franklin,Respect,1967
Barry White,You're the First the Last My Everything,1974
Black Sabbath,Paranoid,1970
Blur,Parklife,1994
David Bowie,Life on Mars?,1971
Depeche Mode,Enjoy the Silence,1990
Dusty Springfield,Son of a Preacher Man,1968
Ella Fitzgerald and Louis Armstrong,Let's Call the Whole Thing Off,1937
Elton John,Rocket Man,1972
Elvis Presley,Blue Suede Shoes,1956
Jackie Wilson,Reet Petite,1957
The Jackson 5,I Want You Back,1969
John Lennon,Imagine,1971
Johnny Cash,Ring of Fire,1963
Lynyrd Skynyrd,Sweet Home Alabama,1974
Madonna,Papa Don't Preach,1986
Marvin Gaye,I Heard It Through the Grapevine,1968
The Monkees,Daydream Believer,1967
Nirvana,Smells Like Teen Spirit,1991
Patsy Cline,Crazy,1961
Pet Shop Boys,Always on My Mind,1987
The Police,Roxanne,1978
The Righteous Brothers,Unchained Melody,1965
The Rolling Stones,Sympathy for the Devil,1968
Roxy Music,Love Is the Drug,1975
Sam Cooke,Wonderful World,1960
The Smiths,This Charming Man,1983
Tina Turner,What's Love Got to Do with It?,1984
U2,Vertigo,2004
Whitney Houston,The Greatest Love of All,1985
