artist,title,year
CC Cowboys,Tigergutt,1990
CC Cowboys,Vill, vakker og våt,1993
CC Cowboys,Harry,1991
D.D.E.,Rompa mi,1992
D.D.E.,Det går likar no,1996
D.D.E.,E6,1991
deLillos,Neste sommer,1986
deLillos,Smak av honning,1991
deLillos,Min beibi dro av sted,1984
deLillos,Ut,1988
Jahn Teigen,Min første kjærlighet,1972
Jahn Teigen,Det vakreste som fins,1982
Jahn Teigen,Optimist,1980
Postgirobygget,Sløv uten dop,1999
Postgirobygget,En solskinnsdag,2002
Postgirobygget,23 tommer,2002
Postgirobygget,Idyll,2002
Trang Fødsel,Kursiv,1983
Trang Fødsel,Livet det er helt ålreit,1983
Trang Fødsel,Drømmedame,1983
