artist,title,year
a-ha,The Sun Always Shines on TV,1985
Annie,Heartbeat,2004
Arne Schau Knudsen,Gal av lengsel,1988
Avril Lavigne,Sk8er Boi,2002
Beyoncé,Crazy in Love,2003
Bigbang,Girl in Oslo,2004
The Clash,Should I Stay or Should I Go?,1982
David,Wild At Heart,1984
Dollie,Lenge Leve Livet,2004
DumDum Boys,Splitter Pine,1985
Hoobastank,The Reason,2003
Jan Eggum,På an igjen,1977
Joss Stone,Super Duper Love (Are You Digging On Me?),2004
Kaptein Sabeltann,Vi seiler vår egen sjø,2003
The Kids,Forelska i lærer'n,1980
Kine,In the air tonight,2001
Kylie Minogue,In Your Eyes,2002
Manfred Mann,Do Wah Diddy,1964
Maria Mena,My Lullaby,2003
The Monroes,Sunday people,1982
Opus X,Loving you girl,1985
Philip & Sandra,Sommerflørt,1985
Robbie Williams,Let Me Entertain You,1998
Rune Rudberg,Ut mot havet,1980
The September When,Cries like a baby,1990
Sister Sledge,We are family,1979
Sputnik,Lukk opp din hjertedør,1995
Steppenwolf,Born to be Wild,1968
Tine,Vil Ha Deg,2003
Tom Jones,It's not unusual,1965
