artist,title,year
Alicia Keys,Fallin',2001
Ashford & Simpson,Solid,1984
The Beautiful South,A Little Time,1990
Bill Withers,Ain't No Sunshine,1971
Blu Cantrell,Hit 'Em Up Style (Oops!),2001
Bob Marley,No Woman No Cry,1974
Buggles,Video Killed the Radio Star,1979
Busted,Year 3000,2002
Cyndi Lauper,Girls Just Wanna Have Fun,1983
Destiny's Child,Survivor,2001
Dido,White Flag,2003
Duran Duran,Hungry Like the Wolf,1982
Elton John & Kiki Dee,Don't Go Breaking My Heart,1976
Elvis Presley,Way Down,1977
The Foundations,Build Me Up Buttercup,1968
Franz Ferdinand,Take Me Out,2004
George Michael,Faith,1987
Jamiroquai,Cosmic Girl,1996
Javine,Real Things,2004
Kylie Minogue,I Should Be So Lucky,1988
Little Richard,Tutti Frutti,1955
Maroon 5,This Love,2004
Natasha Bedingfield,Single,2004
Pink,Just Like a Pill,2001
The Police,Every Breath You Take,1983
Scissor Sisters,Take Your Mama,2004
Sonny & Cher,I Got You Babe,1965
Spandau Ballet,Gold,1983
Spice Girls,Who Do You Think You Are,1996
Tiffany,I Think We're Alone Now,1987
