artist,title,year
Ace of Base,Life Is A Flower,1998
All Saints,Black Coffee,2000
Andreas Johnson,Glorious,1999
Aqua,Cartoon Heroes,2000
Basshunter,Boten Anna,2006
Britney Spears,...Baby One More Time,1998
Cardigans,Erase & Rewind,1999
Christian Walz,Wonderchild,2001
Daniel Powter,Bad Day,2005
Drömhus,Vill ha dej,2005
Eagle-Eye Cherry,Save Tonight,1997
Infernal,I Won't Be Crying,2005
Jamelia,Beware Of The Dog,2004
Jennifer Lopez,Jenny From The Block,2002
Johnny Deluxe,Drenge Som Mig,2005
Junior Senior,Take My Time,2003
Maria Mena,You're the Only One,2004
Nelly Furtado feat. Timbaland,Promiscuous,2006
Norah Jones,Don't Know Why,2002
Orson,Bright Idea,2006
Razorlight,Golden Touch,2005
Rihanna,SOS,2006
Roxette,I Wish I Could Fly,1999
Safri Duo,Sweet Freedom,2001
Sanne Salomonsen,You've Never Been Loved Before,2003
Scissor Sisters,I Don't Feel Like Dancin',2006
Sugababes,Push The Button,2005
Titiyo,Come Along,2001
Travis,Sing,2001
U2,Beautiful Day,2000
