artist,title,year
3 Doors Down,When I'm Gone,2002
Ashlee Simpson,Boyfriend,2005
Avril Lavigne,My Happy Ending,2004
Boys Like Girls,The Great Escape,2006
Cartel,Lose It,2006
Colbie Caillat,Bubbly,2007
Dixie Chicks,Not Ready to Make Nice,2006
Duran Duran,Ordinary World,1992
Evanescence,Bring Me To Life,2003
Fall Out Boy,Thnks fr th Mmrs,2007
Fergie,Big Girls Don't Cry,2006
Gwen Stefani feat. Akon,The Sweet Escape,2006
The Hives,Tick Tick Boom,2007
Jennifer Lopez,Jenny From the Block,2002
Lifehouse,First Time,2007
Lily Allen,Littlest Things,2006
Lloyd,Get it Shawty,2007
Maroon 5,Makes Me Wonder,2007
Matchbox Twenty,How Far We've Come,2007
Michelle Branch,Breathe,2003
Nelly Furtado,Promiscuous,2006
Norah Jones,Don't Know Why,2002
The Outfield,Your Love,1985
Peter Bjorn and John,Young Folks,2006
P!nk,Who Knew,2006
Plain White T's,Hey There Delilah,2006
Rihanna,Umbrella,2007
Santana feat. Chad Kroeger,Into The Night,2007
Steriogram,Walkie Talkie Man,2004
Sum 41,Fat Lip,2001
