artist,title,year
Annie,Heartbeat,2004
Ashlee Simpson,Pieces of Me,2004
Avril Lavigne,Sk8er Boi,2002
Beyoncé,Crazy in Love,2003
Black Eyed Peas,Shut Up,2003
Blink-182,What's My Age Again?,1999
The Clash,Should I Stay or Should I Go,1982
The Dandy Warhols,Bohemian Like You,2000
Eric B. & Rakim,Paid in Full,1987
Fountains of Wayne,Stacy's Mom,2003
Girls Aloud,Love Machine,2004
Good Charlotte,I Just Wanna Live,2004
The Hives,Main Offender,2000
Hoobastank,The Reason,2003
Jamelia,Stop,2004
Joss Stone,Super Duper Love (Are You Diggin' on Me),2003
Keane,Somewhere Only We Know,2004
Kylie Minogue,In Your Eyes,2002
Manfred Mann,Do Wah Diddy Diddy,1964
Marilyn Manson,Personal Jesus,2004
McFly,Obviously,2004
OutKast,Roses,2003
Robbie Williams,Let Me Entertain You,1998
Robbie Williams and Kylie Minogue,Kids,2000
Ronan Keating feat. Yusuf Islam,Father and Son,2004
Sister Sledge,We Are Family,1979
Steppenwolf,Born To Be Wild,1968
Tom Jones,It's Not Unusual,1965
