artist,title,year
Queen,Another One Bites The Dust,1980
Queen,Bicycle Race,1978
Queen,Bohemian Rhapsody,1975
Queen,Breakthru,1989
Queen,Crazy Little Thing Called Love,1979
Queen,Don't Stop Me Now,1978
Queen,Fat Bottomed Girls,1978
Queen,I Want It All,1989
Queen,I Want To Break Free,1984
Queen,Innuendo,1991
Queen,One Vision,1985
Queen,Play The Game,1980
Queen,Somebody To Love,1976
Queen,These Are The Days Of Our Lives,1991
Queen,Tie Your Mother Down,1976
Queen & David Bowie,Under Pressure,1981
Queen,We Are The Champions,1977
Queen,We Will Rock You,1977
Queen,Who Wants To Live Forever,1986
Queen,You're My Best Friend,1975
