artist,title,year
Bloc Party,Banquet,2004
Blur,Song 2,1997
Bowling For Soup,1985,2004
The Bravery,An Honest Mistake,2005
The Cardigans,My Favourite Game,1998
Coldplay,Speed of Sound,2005
Deep Purple,Smoke On The Water,1972
Franz Ferdinand,Do You Want To,2005
Gwen Stefani,What You Waiting For?,2004
Hard-Fi,Hard to Beat,2005
The Hives,Hate to Say I Told You So,2000
Hole,Celebrity Skin,1998
Jet,Are You Gonna Be My Girl?,2003
Kasabian,Club Foot,2004
Keane,Everybody's Changing,2004
The Killers,Somebody Told Me,2004
Kings of Leon,The Bucket,2004
KT Tunstall,Black Horse And The Cherry Tree,2005
Maxïmo Park,Apply Some Pressure,2005
Nirvana,Come As You Are,1992
The Offspring,Self Esteem,1994
Queen,Don't Stop Me Now,1979
Queens of the Stone Age,Go With The Flow,2002
Razorlight,Somewhere Else,2006
The Rolling Stones,Paint It Black,1966
Scorpions,Wind Of Change,1990
Snow Patrol,Run,2004
Stereophonics,Dakota,2005
Thin Lizzy,The Boys Are Back in Town,1976
The Undertones,Teenage Kicks,1978
