artist,title,year
101 Dalmatians,Cruella De Vil,1961
Aladdin,A Whole New World,1992
The Aristocats,Ev'rybody Wants To Be A Cat,1970
Beauty And The Beast,Beauty And The Beast,1991
Cinderella,Bibbidi-Bobbidi-Boo,1950
Cinderella,The Work Song,1950
The Jungle Book,Bare Necessities,1967
The Jungle Book,I Wanna Be Like You,1967
Lady and the Tramp,He's A Tramp,1955
The Lion King,I Just Can't Wait To Be King,1994
The Lion King,The Circle Of Life,1994
The Little Mermaid,Kiss The Girl,1989
The Little Mermaid,Under The Sea,1989
Peter Pan,Following The Leader,1953
Peter Pan,You Can Fly! You Can Fly! You Can Fly!,1953
Sleeping Beauty,I Wonder,1959
Sleeping Beauty,Once Upon A Dream,1959
Tarzan,Son Of Man,1999
Toy Story,You've Got A Friend In Me,1995
Winnie The Pooh,Winnie The Pooh,1966
