artist,title,year
Afro-dite,Never Let It Go,2003
Anna Book,ABC,1986
Arvingarna,Eloise,1993
Attack,Ooa hela natten,2005
Barbados,Kom hem,2006
Beyoncé,Crazy in Love,2003
Blink-182,What's My Age Again?,1999
Carola,Fångad av en stormvind,1991
Christian Walz,Never Be Afraid Again,2006
The Clash,Should I Stay or Should I Go,1982
Daniel Lindström,Coming True,2005
Darin,Money for Nothing,2006
Friends,Lyssna Till Ditt Hjärta,2001
Good Charlotte,I Just Wanna Live,2004
The Hives,Main Offender,2000
Jimmy Jansson,Vi kan gunga,2006
Kylie Minogue,In Your Eyes,2002
Lena Philipsson,Det gör ont,2004
Lisa Nilsson,Himlen runt hörnet,1995
Magnus Uggla,Värsta grymma tjejen,1982
Manfred Mann,Do Wah Diddy Diddy,1964
Mauro Scocco,Sarah,1999
OutKast,Roses,2004
Patrik Isaksson,Hos dig är jag underbar,2000
Robbie Williams,Let Me Entertain You,1998
Robbie Williams and Kylie Minogue,Kids,2000
Robyn,Show Me Love,1997
Steppenwolf,Born To Be Wild,1968
Tom Jones,It's Not Unusual,1965
Uno Svenningsson,Under ytan,1994
