artist,title,year
A-ha,Take On Me,1985
Atomic Kitten,Eternal Flame,2001
Avril Lavigne,Complicated,2002
Blondie,Heart of Glass,1978
Blue,One Love,2001
Busted,Crashed the Wedding,2003
Carl Douglas,Kung Fu Fighting,1974
Daniel Bedingfield,If You're Not the One,2002
The Darkness,I Believe in a Thing Called Love,2003
Deee-Lite,Groove Is in the Heart,1990
Dido,Thank You,1998
Elvis Presley,Suspicious Minds,1969
George Michael,Careless Whisper,1984
Good Charlotte,Girls & Boys,2003
Jamelia,Superstar,2003
Lemar,50/50,2004
Liberty X,Just a Little,2001
Madonna,Like a Virgin,1984
Mis-Teeq,Scandalous,2003
Motörhead,Ace of Spades,1980
Petula Clark,Downtown,1964
P!nk,Get the Party Started,2001
Rick Astley,Never Gonna Give You Up,1987
Ricky Martin,Livin' la Vida Loca,1999
Roy Orbison,Oh Pretty Woman,1964
S Club,Don't Stop Movin',2001
Sophie Ellis-Bextor,Murder on the Dancefloor,2001
Sugababes,Round Round,2002
Village People,Y.M.C.A.,1978
Westlife,World of Our Own,2002
