artist,title,year
The 411,Dumb,2004
Amerie,1 Thing,2005
Amy Winehouse,Back To Black,2006
Anastacia,I'm Outta Love,2000
Beverley Knight,Come As You Are,1998
Black Eyed Peas,Pump It,2006
Chris Brown,Yo! (Excuse Me Miss),2005
Christina Milian,AM To PM,2001
Corinne Bailey Rae,I'd Like To,2006
Destiny's Child,Bootylicious,2001
Diana Ross & The Supremes,Baby Love,1964
DJ Jazzy Jeff & The Fresh Prince,Summertime,1991
Edwin Starr,War,1970
En Vogue,My Lovin' (You're Never Gonna Get It),1992
The Four Tops,I Can't Help Myself,1965
Gwen Stefani,Hollaback Girl,2004
Inner City,Good Life,1988
Jamelia,Thank You,2004
Jamiroquai,Alright,1997
Luther Vandross,Never Too Much,1981
Mark Ronson feat. Daniel Merriweather,Stop Me,2007
Martha Reeves & The Vandellas,Dancing In The Street,1964
Marvin Gaye & Tammi Tarrell,Ain't No Mountain High Enough,1967
OutKast,Idlewild Blue (Don'tchu Worry 'Bout Me),2006
The Pussycat Dolls,Buttons,2006
Rihanna,We Ride,2006
Salt'N'Pepa,Push It,1987
Sugababes,Ugly,2005
Whitney Houston,My Love Is Your Love,1998
Womack & Womack,Teardrops,1988
