"Game Title","Region","Artist","Song Title"
"SingStar (Europe, Australia)","Europe/Australia","a-ha","Take On Me"
"SingStar (Europe, Australia)","Europe/Australia","Atomic Kitten","Eternal Flame"
"SingStar (Europe, Australia)","Europe/Australia","Avril Lavigne","Complicated"
"SingStar (Europe, Australia)","Europe/Australia","Blondie","Heart Of Glass"
"SingStar (Europe, Australia)","Europe/Australia","Blue","One Love"
"SingStar (Europe, Australia)","Europe/Australia","Busted","Crashed the Wedding"
"SingStar (Europe, Australia)","Europe/Australia","Carl Douglas","Kung Fu Fighting"
"SingStar (Europe, Australia)","Europe/Australia","The Darkness","I Believe In A Thing Called Love"
"SingStar (Europe, Australia)","Europe/Australia","Deee-Lite","Groove Is In The Heart"
"SingStar (Europe, Australia)","Europe/Australia","Dido","Thank You"
"SingStar (Europe, Australia)","Europe/Australia","Elvis Presley","Suspicious Minds"
"SingStar (Europe, Australia)","Europe/Australia","Good Charlotte","Girls & Boys"
"SingStar (Europe, Australia)","Europe/Australia","Jamelia","Superstar"
"SingStar (Europe, Australia)","Europe/Australia","Liberty X","Just A Little"
"SingStar (Europe, Australia)","Europe/Australia","Madonna","Like A Virgin"
"SingStar (Europe, Australia)","Europe/Australia","Mis-Teeq","Scandalous"
"SingStar (Europe, Australia)","Europe/Australia","P!nk","Get The Party Started"
"SingStar (Europe, Australia)","Europe/Australia","Ricky Martin","Livin' La Vida Loca"
"SingStar (Europe, Australia)","Europe/Australia","Roy Orbison","Oh, Pretty Woman"
"SingStar (Europe, Australia)","Europe/Australia","Sugababes","Round Round"
"SingStar (Europe, Australia)","Europe/Australia","Village People","Y.M.C.A."
"SingStar '90s (Europe, Australia)","Europe/Australia","All Saints","Never Ever"
"SingStar '90s (Europe, Australia)","Europe/Australia","Aqua","Barbie Girl"
"SingStar '90s (Europe, Australia)","Europe/Australia","B-52's","Love Shack"
"SingStar '90s (Europe, Australia)","Europe/Australia","Barenaked Ladies","One Week"
"SingStar '90s (Europe, Australia)","Europe/Australia","Billy Ray Cyrus","Achy Breaky Heart"
"SingStar '90s (Europe, Australia)","Europe/Australia","Crash Test Dummies","Mmm Mmm Mmm Mmm"
"SingStar '90s (Europe, Australia)","Europe/Australia","Divinyls","I Touch Myself"
"SingStar '90s (Europe, Australia)","Europe/Australia","EMF","Unbelievable"
"SingStar '90s (Europe, Australia)","Europe/Australia","Gin Blossoms","Hey Jealousy"
"SingStar '90s (Europe, Australia)","Europe/Australia","Lisa Loeb","Stay (I Missed You)"
"SingStar '90s (Europe, Australia)","Europe/Australia","MC Hammer","U Can't Touch This"
"SingStar '90s (Europe, Australia)","Europe/Australia","Natalie Imbruglia","Torn"
"SingStar '90s (Europe, Australia)","Europe/Australia","New Kids on the Block","Step By Step"
"SingStar '90s (Europe, Australia)","Europe/Australia","Nick Cave & The Bad Seeds and Kylie Minogue","Where The Wild Roses Grow"
"SingStar '90s (Europe, Australia)","Europe/Australia","Poison","Unskinny Bop"
